VariableName,Attribute,Use in Analysis
P01BL12SXR,"SV:Right knee baseline frequent knee pain status (IEI, SV, both, or neither) (calc)",1.0
P01KPACDCV,"SV:Q20a.Either knee, how many days limit activities due to pain, aching or stiffness, past 30 days (calc)",1.0
P01LKP30CV,"SV:Q19.Left knee pain, aching or stiffness: any, past 30 days (calc)",1.0
P01RKP30CV,"SV:Q16.Right knee pain, aching or stiffness: any, past 30 days (calc)",1.0
P02KPMED,"IEI:Q10.Either knee, used medication for pain, aching or stiffness, past 12 months",1.0
P02KINJ,"IEI:Q11.Either knee, ever injured so badly difficult to walk for at least one week (used for study eligibility)",1.0
P02KSURG,"IEI:Q12.Either knee, history of knee surgery (incl. arthroscopy, ligament repair, meniscectomy; used for study elig.)",1.0
P02CNCR3,"IEI:Q19.Treated for cancer or been told by doctor that you had cancer or malignant tumor, past 3 years",1.0
P02CNC3,"IEI:Q20a.Cancer type: breast, self-reported",1.0
P02CNC4,"IEI:Q20a.Cancer type: cervical, self-reported",1.0
P02CNC13,"IEI:Q20a.Cancer type: prostate, self-reported",1.0
P02CNC14,"IEI:Q20a.Cancer type: rectal, self-reported",1.0
P02CNC15,"IEI:Q20a.Cancer type: skin, self-reported",1.0
P02CNMEL,"IEI:Q20a.Cancer type: nonmelanoma skin cancer, self-reported",1.0
P02CSY,IEI:Q20b.Cancer removed by surgery: yes or watchful waiting for prostate cancer,1.0
P02CMN,IEI:Q20c.Doctor said cancer spread to other parts of body: no,1.0
P02CMDK,IEI:Q20c.Doctor said cancer spread to other parts of body: don't know,1.0
P01RAIA,SV:Q1.Doctor ever said you have rheumatoid arthritis or other inflammatory arthritis,1.0
P01RAJS1HR,SV:Q2.RA symptoms: ever had joint stiffness in any joints lasting at least one hour in the morning,1.0
P01RAFT6R,"SV:Q4b.RA symptoms: right fingers or thumb swelling, ever had lasting more than 6 weeks",1.0
P01RAFT6L,"SV:Q4b.RA symptoms: left fingers or thumb swelling, ever had lasting more than 6 weeks",1.0
P01RAKN6R,"SV:Q4d.RA symptoms: right knee swelling, ever had lasting more than 6 weeks",1.0
P01RAKN6L,"SV:Q4d.RA symptoms: left knee swelling, ever had lasting more than 6 weeks",1.0
P01RA3YES,"SV:Q5.RA symptoms: 3 or more Yes responses to questions #2a, #3, and #4a - d",1.0
P01RA1YES,SV:Q6.RA symptoms: at least one Yes response for any wrist or finger in question #4a - b,1.0
P01RARLYES,"SV:Q7.RA symptoms: both right and left marked Yes for wrist, fingers, elbow or knee in question #4a - d",1.0
P01RATEST,SV:Q8.RA Symptoms: ever had blood test for rheumatoid arthritis,1.0
P01RATOT3,SV:Q9.RA symptoms: total score more than 3,1.0
P01ARTHOTH,SV:Q10.Doctor ever said you have some other type of arthritis,1.0
P01ARTDOC,SV:Q11.Currently seeing doctor or other health care professional for arthritis,1.0
P01KPMED,"SV:Q21.Either knee, used medication for pain, aching or stiffness, past 12 months",1.0
P01INJR,"SV:Q24.Right knee, ever injured badly enough to limit ability to walk for at least two days",1.0
P01INJR1,"SV:Q24ai.Right knee, how old at first injury",1.0
P01INJR2,"SV:Q24aii.Right knee, how old at second injury",1.0
P01INJR3,"SV:Q24aiii.Right knee, how old at third injury",1.0
P01KSURGR,"SV:Q25.Right knee, ever have surgery or arthroscopy",1.0
P01KRSR,"SV:Q26.Right knee, ever have replacement surgery where all or part of joint was replaced",1.0
P01KRSRA,"SV:Q26a.Right knee, how old when first had replaced",1.0
P01ARTR,"SV:Q27.Right knee, ever have arthroscopy (where they put a scope in knee)",1.0
P01ARTR1,"SV:Q27ai.Right knee, how old at first arthroscopy",1.0
P01ARTR2,"SV:Q27aii.Right knee, how old at second arthroscopy",1.0
P01ARTR3,"SV:Q27aiii.Right knee, how old at third arthroscopy",1.0
P01ARTRINJ,"SV:Q27b.Right knee, was at least one arthroscopy to repair injury",1.0
P01MENR,"SV:Q28.Right knee, ever have meniscectomy (where they repaired or cut away torn meniscus or cartilage)",1.0
P01MENR1,"SV:Q28ai.Right knee, how old at first meniscectomy",1.0
P01MENR2,"SV:Q28aii.Right knee, how old at second meniscectomy",1.0
P01MENR3,"SV:Q28aiii.Right knee, how old at third meniscectomy",1.0
P01MENRINJ,"SV:Q28b.Right knee, was at least one meniscectomy to repair an injury",1.0
P01LRR,"SV:Q29.Right knee, ever have ligament repair surgery",1.0
P01LRR1,"SV:Q29ai.Right knee, how old at first ligament repair surgery",1.0
P01LRR2,"SV:Q29aii.Right knee, how old at second ligament repair surgery",1.0
P01LRR3,"SV:Q29aiii.Right knee, how old at third ligament repair surgery",1.0
P01OTSURGR,"SV:Q30.Right knee, ever have any other kind of surgery",1.0
P01OTSR1,"SV:Q30bi.Right knee, how old at first other surgery",1.0
P01OTSR2,"SV:Q30bii.Right knee, how old at second other surgery",1.0
P01OTSR3,"SV:Q30biii.Right knee, how old at third other surgery",1.0
P01OTSRINJ,"SV:Q30c.Right knee, was at least one other surgery to repair an injury",1.0
P01INJL,"SV:Q31.Left knee, ever injured badly enough to limit ability to walk for at least two days",1.0
P01INJL1,"SV:Q31i.Left knee, how old at first injury",1.0
P01INJL2,"SV:Q31ii.Left knee, how old at second injury",1.0
P01INJL3,"SV:Q31iii.Left knee, how old at third injury",1.0
P01KSURGL,"SV:Q32.Left knee, ever have surgery or arthroscopy",1.0
P01KRSL,"SV:Q33.Left knee, ever have replacement where all or part of joint was replaced",1.0
P01KRSLA,"SV:Q33a.Left knee, how old when first had replaced",1.0
P01ARTL,"SV:Q34.Left knee, ever have arthroscopy (where they put a scope in knee)",1.0
P01ARTL1,"SV:Q34ai.Left knee, how old at first arthroscopy",1.0
P01ARTL2,"SV:Q34aii.Left knee, how old at second arthroscopy",1.0
P01ARTL3,"SV:Q34aiii.Left knee, how old at third arthroscopy",1.0
P01ARTLINJ,"SV:Q34b.Left knee, was at least one arthroscopy to repair injury",1.0
P01MENL,"SV:Q35.Left knee, ever have meniscectomy (where they repaired or cut away torn meniscus or cartilage)",1.0
P01MENL1,"SV:Q35ai.Left knee, how old at first meniscectomy",1.0
P01MENL2,"SV:Q35aii.Left knee, how old at second meniscectomy",1.0
P01MENL3,"SV:Q35aiii.Left knee, how old at third meniscectomy",1.0
P01MENLINJ,"SV:Q35b.Left knee, was at least one meniscectomy to repair an injury",1.0
P01LRL,"SV:Q36.Left knee, ever have ligament repair surgery",1.0
P01LRL1,"SV:Q36ai.Left knee, how old at first ligament repair surgery",1.0
P01LRL2,"SV:Q36aii.Left knee, how old at second ligament repair surgery",1.0
P01LRL3,"SV:Q36aiii.Left knee, how old at third ligament repair surgery",1.0
P01OTSURGL,"SV:Q37.Left knee, ever have any other kind of surgery",1.0
P01OTSL1,"SV:Q37bi.Left knee, how old at first other surgery",1.0
P01OTSL2,"SV:Q37bii.Left knee, how old at second other surgery",1.0
P01OTSL3,"SV:Q37biii.Left knee, how old at third other surgery",1.0
P01OTSLINJ,"SV:Q37c.Left knee, was at least one other surgery to repair an injury",1.0
P01HRS,SV:Q40.Ever had hip replacement surgery where all or part of joint was replaced,1.0
P01HRSR,"SV:Q41.Right hip, ever had replaced",1.0
P01HRSROA,"SV:Q41a.Right hip replacement reason, osteoarthritis or degenerative arthritis",1.0
P01HRSRDK,"SV:Q41a.Right hip replacement reason, don't know",1.0
P01HRSL,"SV:Q42.Left hip, ever had replaced",1.0
P01HRSLOA,"SV:Q42a.Left hip replacement reason, osteoarthritis or degenerative arthritis",1.0
P01HRSLDK,"SV:Q42a.Left hip replacement reason, don't know",1.0
P01PREGEV,SV:Q1.Have you ever been pregnant,1.0
P01OVREM,SV:Q2.Ever had ovary removed,1.0
P01OV1AGE,SV:Q2bi.How old when ovary/ovaries removed (first surgery),1.0
P01OV2AGE,SV:Q2bii.How old when ovary removed (second surgery),1.0
P01HYS,SV:Q3.Ever had a hysterectomy (surgery to remove uterus or womb),1.0
P01HYSAGE,SV:Q3a.How old when had hysterectomy,1.0
P01MENSTR,SV:Q5.When was your last natural menstrual period,1.0
V00HRTAT,SAQ:Q17.Charlson Comorbidity: ever had heart attack,1.0
V00HRTFAIL,SAQ:Q18.Charlson Comorbidity: ever treated for heart failure,1.0
V00BYPLEG,SAQ:Q19.Charlson Comorbidity: had operation to unclog or bypass arteries in legs,1.0
V00STROKE,"SAQ:Q20.Charlson Comorbidity: had stroke, cerebrovascular accident, blood clot or bleeding in brain, or transient ischemic attack (TIA)",1.0
V00ASTHMA,SAQ:Q21.Charlson Comorbidity: have asthma,1.0
V00ASTMEDS,SAQ:Q21a.Charlson Comorbidity: take medicines for asthma,1.0
V00AMWHEN,SAQ:Q21ai.Charlson Comorbidity: when usually take medicine for asthma,1.0
V00LUNG,"SAQ:Q22.Charlson Comorbidity: have emphysema, chronic bronchitis, or chronic obstructive lung disease (also called COPD)",1.0
V00LGMEDS,SAQ:Q22a.Charlson Comorbidity: take medicines for lung disease,1.0
V00LMWHEN,SAQ:Q22ai.Charlson Comorbidity: when usually take medicine for lung disease,1.0
V00ULCER,SAQ:Q23.Charlson Comorbidity: have stomach ulcers or peptic ulcer disease,1.0
V00ULCERDX,"SAQ:Q23a.Charlson Comorbidity: stomach ulcers or peptic ulcer disease diagnosed by endoscopy, upper GI or barium swallow study",1.0
V00DIAB,SAQ:Q24.Charlson Comorbidity: have diabetes (high blood sugar),1.0
V00DIABTX1,SAQ:Q24a.Charlson Comorbidity: diabetes treated by modifying diet,1.0
V00DIABTX2,SAQ:Q24a.Charlson Comorbidity: diabetes treated with medications taken by mouth,1.0
V00DIABTX3,SAQ:Q24a.Charlson Comorbidity: diabetes treated with insulin injections,1.0
V00DIABTX4,SAQ:Q24a.Charlson Comorbidity: diabetes not treated/watchful waiting,1.0
V00DIABPR1,SAQ:Q24b.Charlson Comorbidity: diabetes caused problems with kidneys,1.0
V00DIABPR2,"SAQ:Q24b.Charlson Comorbidity: diabetes caused problems with eyes, treated by ophthalmologist",1.0
V00DIABPR3,SAQ:Q24b.Charlson Comorbidity: diabetes has not caused problems,1.0
V00KIDFXN,"SAQ:Q25a.Charlson Comorbidity: ever had problem with kidneys, poor kidney function (blood tests showed high creatinine)",1.0
V00KIDTRAN,"SAQ:Q25c.Charlson Comorbidity: ever had problem with kidneys, received kidney transplant",1.0
V00RA,SAQ:Q26.Charlson Comorbidity: have rheumatoid arthritis,1.0
V00RAMEDS,SAQ:Q26a.Charlson Comorbidity: take medicines for rheumatoid arthritis regularly,1.0
V00POLYRH,SAQ:Q28.Charlson Comorbidity: have polymyalgia rheumatica,1.0
V00LIVDAM,SAQ:Q29b.Charlson Comorbidity: have cirrhosis or serious liver damage,1.0
V00CANCER,"SAQ:Q29e.Charlson Comorbidity: have cancer, other than skin cancer, leukemia or lymphoma",1.0
V00BONEFX,SAQ:Q30.Doctor ever said you broke or fractured bone after age 45,1.0
V00HIPFX,SAQ:Q30a.Doctor ever said you broke or fractured hip,1.0
V00HIPFXAG,SAQ:Q30ai.How old when doctor first said you broke or fractured hip,1.0
V00SPNFX,SAQ:Q31.Doctor ever said you fractured spine or vertebrae,1.0
V00SPNFXAG,SAQ:Q31a.How old when doctor first said you fractured spine or vertebrae,1.0
V00FALL,"SAQ:Q32.Fallen and landed on floor or ground, past 12 months",1.0
V00WMXAGE1,SAQ:Q36.Maximum weight: 18-25 years old,1.0
V00WMXAGE2,SAQ:Q36.Maximum weight: 26-29 years old,1.0
V00WMXAGE3,SAQ:Q36.Maximum weight: 30-39 years old,1.0
V00WMXAGE4,SAQ:Q36.Maximum weight: 40-49 years old,1.0
V00WMXAGE5,SAQ:Q36.Maximum weight: 50-59 years old,1.0
V00WMXAGE6,SAQ:Q36.Maximum weight: 60-69 years old,1.0
V00WMXAGE7,SAQ:Q36.Maximum weight: 70 years or older,1.0
V00WMNAGE1,SAQ:Q38.Minimum weight: 18-25 years old,1.0
V00WMNAGE2,SAQ:Q38.Minimum weight: 26-29 years old,1.0
V00WMNAGE3,SAQ:Q38.Minimum weight: 30-39 years old,1.0
V00WMNAGE4,SAQ:Q38.Minimum weight: 40-49 years old,1.0
V00WMNAGE5,SAQ:Q38.Minimum weight: 50-59 years old,1.0
V00WMNAGE6,SAQ:Q38.Minimum weight: 60-69 years old,1.0
V00WMNAGE7,SAQ:Q38.Minimum weight: 70 years or older,1.0
V00SMOKE,SAQ:Q39.Have you smoked at least 100 cigarettes (5 packs) in entire life,1.0
V00SMKAGE,SAQ:Q39a.How old when first started smoking cigarettes fairly regularly,1.0
V00SMKNEV,SAQ:Q39a.Never smoked cigarettes regularly,1.0
V00SMKAVE,"SAQ:Q39b.On average of entire time have smoked, how many cigarettes did usually smoke per day",1.0
V00SMKNOW,SAQ:Q39c.Smoke cigarettes now,1.0
V00SMKAMT,SAQ:Q39ci.About how many cigarettes smoke per day,1.0
V00SMKSTOP,SAQ:Q39cii.How old when stopped smoking,1.0
V00PIPE,"SAQ:Q40.Ever smoked pipe, cigars or cigarillos",1.0
V00PIPEAGE,"SAQ:Q40a.How old when first started smoking pipe, cigars or cigarillos fairly regularly",1.0
V00PIPENEV,"SAQ:Q40a.Never smoked pipes, cigars or cigarillos regularly",1.0
V00PIPENOW,SAQ:Q40b.Smoke pipe or cigar now,1.0
V00PIPEAMT,"SAQ:Q40bi.About how many pipes, cigars or cigarillos smoke per week",1.0
V00PIPSTOP,"SAQ:Q40bii.How old when stopped smoking pipe, cigars or cigarillos",1.0
V00DRNKAMT,"SAQ:Q41.How many alcoholic drinks in typical week, past 12 months",1.0
V00DRKMORE,"SAQ:Q42.Ever drink more beer, wine or liquor than do now",1.0
V00CESD1,"SAQ:Q43a.CES-D: how often bothered by things that usually don't bother, past week",1.0
V00CESD2,"SAQ:Q43b.CES-D: how often did not feel like eating, appetite was poor, past week",1.0
V00CESD3,"SAQ:Q43c.CES-D: how often felt could not shake off the blues even with help from family and friends, past week",1.0
V00CESD4,"SAQ:Q43d.CES-D: how often felt just as good as other people, past week",1.0
V00CESD5,"SAQ:Q43e.CES-D: how often had trouble keeping mind on what was doing, past week",1.0
V00CESD6,"SAQ:Q43f.CES-D: how often felt depressed, past week",1.0
V00CESD7,"SAQ:Q43g.CES-D: how often felt that everything did was an effort, past week",1.0
V00CESD8,"SAQ:Q43h.CES-D: how often felt hopeful about the future, past week",1.0
V00CESD9,"SAQ:Q43i.CES-D: how often thought my life had been a failure, past week",1.0
V00CESD10,"SAQ:Q43j.CES-D: how often felt fearful, past week",1.0
V00CESD11,"SAQ:Q43k.CES-D: how often sleep was restless, past week",1.0
V00CESD12,"SAQ:Q43l.CES-D: how often was happy, past week",1.0
V00CESD13,"SAQ:Q43m.CES-D: how often talked less than usual, past week",1.0
V00CESD14,"SAQ:Q43n.CES-D: how often felt lonely, past week",1.0
V00CESD15,"SAQ:Q43o.CES-D: how often felt people were unfriendly, past week",1.0
V00CESD16,"SAQ:Q43p.CES-D: how often enjoyed life, past week",1.0
V00CESD17,"SAQ:Q43q.CES-D: how often had crying spells, past week",1.0
V00CESD18,"SAQ:Q43r.CES-D: how often felt sad, past week",1.0
V00CESD19,"SAQ:Q43s.CES-D: how often felt that people disliked me, past week",1.0
V00CESD20,"SAQ:Q43t.CES-D: how often could not get going, past week",1.0
V00TYLEN,"EV:Q50a.Used Tylenol (Acetaminophen) for joint pain or arthritis more than half the days of the month, past 30 days",1.0
V00NSAIDS,"EV:Q50b.Used nonprescription NSAIDS (e.g., Aspirin, Ibuprofen…) for joint pain or arthritis more than half the days of the month, past 30 days",1.0
V00NSAIDRX,"EV:Q50c.Used prescription NSAIDS (e.g., Ibuprofen, Diclofenac…) for joint pain or arthritis more than half the days of the month, past 30 days",1.0
V00COXIBS,"EV:Q50d.Used COXIBS (e.g., Bextra, Celebrex...) for joint pain or arthritis more than half the days of the month, past 30 days",1.0
V00NARCOT,"EV:Q50e.Used strong prescription pain medications (e.g., narcotics) for joint pain or arthritis more than half the days of the month, past 30 days",1.0
V00SAME,"EV:Q50f.Used SAMe (S-adenosylmethionine) for joint pain or arthritis more than half the days of the month, past 30 days",1.0
V00MSM,"EV:Q50g.Used MSM (methylsulfonylmethane) for joint pain or arthritis more than half the days of the month, past 30 days",1.0
V00DOXYCYC,"EV:Q50h.Used Doxycycline (includes Vibra-Tabs, Doryx, Adoxa...) for joint pain or arthritis more than half the days of the month, past 30 days",1.0
V00PNMEDT,EV:Q51.Take any pain medication today (include both prescription and over-the-counter medications for any type of pain),1.0
V00CHON,"EV:Q52a.Used chondroitin sulfate for joint pain or arthritis, past 6 months",1.0
V00GLUC,"EV:Q52b.Used glucosamine for joint pain or arthritis, past 6 months",1.0
V00KNINJ,"EV:Q53.Either knee, injections for treatment of arthritis, past 6 months",1.0
V00HYALKN,"EV:Q53ai.Which knee, injection of hyaluronic acid, past 6 months",1.0
V00STERKN,"EV:Q53bi.Which knee, injection of steroids, past 6 months",1.0
V00TEST,"EV:Q54.Used male hormone or testosterone (injection, patch, or rubbed on skin) (men only), past 6 months",1.0
V00TESTUSE,"EV:Q54a.Last time used male hormone or testosterone (men only), past 6 months",1.0
V00ESTR,"EV:Q55.Used Estratest or Syntest, a combination of estrogen and testosterone, for menopausal symptoms or to increase bone density (women only), past 6 months",1.0
V00ESTRUSE,"EV:Q55a.Last time used Estratest or Syntest (women only), past 6 months",1.0
V00GNRH,"EV:Q56.Received GnRH antagonist injections (such as Antagon, Cetrotide, Lupron) to treat vaginal bleeding/prostate cancer, past 6 months",1.0
V00GNRHUSE,"EV:Q56a.Last time had GnRH antagonist injection, past 6 months",1.0
V00PTH,"EV:Q57.Used parathyroid hormone or PTH  (includes Forteo, or teriparatide, given by injection) to treat osteoporosis, past 6 months",1.0
V00PTHUSE,"EV:Q57a.Last time had parathyroid hormone or PTH injection, past 6 months",1.0
V00BISPHOS,"EV:Q58.Taken bisphosphonate medication (includes alendronate, risedronate...) to treat osteoporosis or Paget's disease, past 5 years",1.0
V00BISPYRS,EV:Q58a.How many years take bisphosphonates,1.0
V00BISPUSE,"EV:Q58b.Last time took bisphosphonate, past 5 years",1.0
V00CAM12,"EV:Q59.CAM: seen someone other than medical doctor or nurse, such as chiropractor or acupuncturist, specifically for arthritis or joint pain, past 12 months",1.0
V00ACUTNUM,"EV:Q59ai.CAM: how many times see acupuncture practitioner for arthritis or joint pain, past 12 months",1.0
V00ACUTCUR,EV:Q59aii.CAM: currently seeing acupuncture practitioner for arthritis or joint pain,1.0
V00ACUSNUM,"EV:Q59bi.CAM: how many times see acupressure practitioner for arthritis or joint pain, past 12 months",1.0
V00ACUSCUR,EV:Q59bii.CAM: currently seeing acupressure practitioner for arthritis or joint pain,1.0
V00CHELCUR,EV:Q59eii.CAM: currently seeing chelation therapy practitioner for arthritis or joint pain,1.0
V00CHELNUM,"EV:Q59ei.CAM: how many times see chelation therapy practitioner for arthritis or joint pain, past 12 months",1.0
V00CHIRNUM,"EV:Q59fi.CAM: how many times see chiropractic care practitioner for arthritis or joint pain, past 12 months",1.0
V00CHIRCUR,EV:Q59fii.CAM: currently seeing chiropractic care practitioner for arthritis or joint pain,1.0
V00FOLKNUM,"EV:Q59hi.CAM: how many times see folk medicine practitioner for arthritis or joint pain, past 12 months",1.0
V00FOLKCUR,EV:Q59hii.CAM: currently seeing folk medicine practitioner for arthritis or joint pain,1.0
V00HOMENUM,"EV:Q59ii.CAM: how many times see homeopathy/homeopathic treatment practitioner for arthritis or joint pain, past 12 months",1.0
V00HOMECUR,EV:Q59iii.CAM: currently seeing homeopathy/homeopathic treatment practitioner for arthritis or joint pain,1.0
V00MASSNUM,"EV:Q59ki.CAM: how many times see massage practitioner for arthritis or joint pain, past 12 months",1.0
V00MASSCUR,EV:Q59kii.CAM: currently seeing massage practitioner for arthritis or joint pain,1.0
V00DIET12,"EV:Q60.CAM: follow special food plan or diet, such as a vegetarian or low-fat diet, for arthritis or joint pain, past 12 months",1.0
V00VITM12,"EV:Q61.CAM: use vitamins or minerals, such as selenium or vitamin C or D, for arthritis or joint pain, past 12 months",1.0
V00HERB12,"EV:Q62.CAM: use herbs, such as echinacea, ginger or garlic, for arthritis or joint pain, past 12 months",1.0
V00RUBS12,"EV:Q63.CAM: used rubs, lotions, liniments, creams or oils, such as tiger balm or horse liniment, for arthritis or joint pain, past 12 months",1.0
V00BRAC12,"EV:Q64.CAM: worn copper bracelets or used magnets for arthritis or joint pain, past 12 months",1.0
V00YOGA12,"EV:Q65.CAM: do any health or special movement activity, such as Tai Chi, Yoga, Chi Gong or Pilates, for arthritis or joint pain, past 12 months",1.0
V00RELA12,"EV:Q66.CAM: do relaxation or mind-body activities, such as meditation, deep breathing or visualization, for arthritis or joint pain, past 12 months",1.0
V00SPIR12,"EV:Q67.CAM: do spiritual activities (e.g., prayer, laying on of hands, healing circles, or faith healing) for arthritis or joint pain, past 12 months",1.0
V00RX30,"EV:Q49.MIF: bring in or identify all prescription medications taken, past 30 days",1.0
V00RX30NUM,EV:Q49a.MIF: total number of medications recorded,1.0
P02KPMEDCV,"IEI:Q10a.Either knee, used medication for pain, aching or stiffness more than half the days of a month, past 12 months (calc, used for study eligibility)",1.0
P02KRSCV,IEI:Q12b.Which knee replaced during knee replacement surgery (calc),1.0
P01RAJSCV,SV:Q2a.RA Symptoms: have morning stiffness (in any joints lasting at least one hour) for more than six weeks (calc),1.0
P01RATSTCV,SV:Q8a.RA Symptoms: RA blood test results (calc),1.0
P01OADEGCV,SV:Q10a.Doctor said you had osteoarthritis/degenerative arthritis in knee (calc),1.0
P01OAHIPCV,SV:Q10b.Doctor said you had osteoarthritis/degenerative arthritis in hip (calc),1.0
P01OAHNDCV,SV:Q10c.Doctor said you had osteoarthritis/degenerative arthritis in hand/fingers (calc),1.0
P01OABCKCV,SV:Q10d.Doctor said you had osteoarthritis/degenerative arthritis in back/neck (calc),1.0
P01OAOTHCV,SV:Q10e.Doctor said you had osteoarthritis/degenerative arthritis in some other joint (calc),1.0
P01GOUTCV,SV:Q10f.Doctor said you had gout (calc),1.0
P01OTARTCV,SV:Q10g.Doctor said you had some other type of arthritis (calc),1.0
P01ARTDRCV,SV:Q11a.Seeing doctor/other professional for knee arthritis (calc),1.0
P01KPMEDCV,"SV:Q21a.Either knee, used med for pain, aching or stiffness more than half the days of a month, past 12 mo (calc, used for study eligibility)",1.0
P01OVNUMCV,SV:Q2a.How many ovaries removed (calc),1.0
V00COMORB,SAQ:Comorbidity Score (calc),1.0
V00FALLCV,"SAQ:Q32a.How many times fallen, past 12 months (calc)",1.0
V00HT25MM,"SAQ:Height at age 25, self-reported (mm) (calc)",1.0
V00WT25KG,"SAQ:Weight at age 25, self-reported (kg) (calc)",1.0
V00WTMAXKG,"SAQ:Maximum adult weight, self-reported (kg) (calc)",1.0
V00WTMINKG,"SAQ:Minimum adult weight, self-reported (kg) (calc)",1.0
V00SMOKER,SAQ:Smoking status for cigarettes (calc),1.0
V00SMKPKYR,SAQ:Pack-years of smoking cigarettes (calc),1.0
V00PSMOKER,"SAQ:Smoking status for pipe, cigars or cigarillos (calc)",1.0
V00PSMKYR,"SAQ:Years of smoking pipe, cigars or cigarillos (calc)",1.0
V00CESD,SAQ:CES-D: Center for Epidemiologic Studies Depression Scale (CES-D) Score (calc),1.0
V00HYAINJR,"EV:Right knee hyaluronic acid injection, past 6 months (calc)",1.0
V00HYAINJL,"EV:Left knee hyaluronic acid injection, past 6 months (calc)",1.0
V00STRINJR,"EV:Right knee steroid injection, past 6 months (calc)",1.0
V00STRINJL,"EV:Left knee steroid injection, past 6 months (calc)",1.0
V00BISPTYP,"EV:Type of bisphosphonate taken, past 5 years (calc)",1.0
V00CHNFQCV,"EV:Q52ai.Chondroitin sulfate frequency of use, past 6 months (calc)",1.0
V00GLCFQCV,"EV:Q52bi.Glucosamine frequency of use, past 6 months (calc)",1.0
V00HYINJCV,"EV:Q53a.Either knee, hyaluronic acid injection (Synvisc/Hyalgan), past 6 months (calc)",1.0
V00STINJCV,"EV:Q53b.Either knee, steroid injection (cortisone/corticosteroid), past 6 months (calc)",1.0
V00ACUTCV,"EV:Q59a.CAM: seen acupuncture practitioner for arthritis or joint pain, past 12 months (calc)",1.0
V00ACUSCV,"EV:Q59b.CAM: seen acupressure practitioner for arthritis or joint pain, past 12 months (calc)",1.0
V00CHELCV,"EV:Q59e.CAM: seen chelation therapy practitioner for arthritis or joint pain, past 12 months (calc)",1.0
V00CHIRCV,"EV:Q59f.CAM: seen chiropractic care practitioner for arthritis or joint pain, past 12 months (calc)",1.0
V00FOLKCV,"EV:Q59h.CAM: seen folk medicine practitioner for arthritis or joint pain, past 12 months (calc)",1.0
V00HOMECV,"EV:Q59i.CAM: seen homeopathy/homeopathic treatment practitioner for arthritis or joint pain, past 12 months (calc)",1.0
V00MASSCV,"EV:Q59k.CAM: seen massage practitioner for arthritis or joint pain, past 12 months (calc)",1.0
V00DIETCV,EV:Q60a.CAM: currently following special food plan or diet for arthritis or joint pain (calc),1.0
V00VITMCV,EV:Q61a.CAM: currently using vitamins/minerals for arthritis or joint pain (calc),1.0
V00RUBCV,"EV:Q63a.CAM: currently using rubs, lotions, liniments, creams or oils for arthritis or joint pain (calc)",1.0
V00CAPSNCV,EV:Q63b.CAM: currently using Capsaicin (pepper cream) for arthritis or joint pain (calc),1.0
V00BRACCV,EV:Q64a.CAM: currently wear copper bracelets or use magnets for arthritis or joint pain (calc),1.0
V00YOGACV,EV:Q65a.CAM: currently do any type of health or special movement activity for arthritis or joint pain (calc),1.0
V00HERBCV,EV:Q62a.CAM: currently using any herbs for arthritis or joint pain (calc),1.0
V00RELACV,EV:Q66a.CAM: currently do relaxation or mind-body activities for arthritis or joint pain (calc),1.0
V00SPIRCV,EV:Q67a.CAM: currently do any type of spiritual activities for arthritis or joint pain (calc),1.0
V00RXANALG,EV:MIF: Rx Analgesic use indicator (calc),1.0
V00RXVLCXB,EV:MIF: Rx Valdecoxib use indicator (calc),1.0
V00RXFLUOR,EV:MIF: Rx Fluoride use indicator (calc),1.0
V00RXCLCTN,EV:MIF: Rx Calcitonin use indicator (calc),1.0
V00RXBISPH,EV:MIF: Rx Bisphosphonate use indicator (calc),1.0
P01RASTASV,"SV:RA/other inflammatory arthritis diagnosis and medication status, self-report (calc)",1.0
V00RXIHYAL,EV:MIF: Rx Injected hyaluronic acid use indicator (calc),1.0
V00RXRFCXB,EV:MIF: Rx Rofecoxib use indicator (calc),1.0
V00RXNARC,EV:MIF: Rx Narcotic analgesic use indicator (calc),1.0
V00RXISTRD,EV:MIF: Rx Injected corticosteroid use indicator (calc),1.0
V00RXCOX2,EV:MIF: Rx COX-II inhibitor use indicator (calc),1.0
V00RXCHOND,EV:MIF: Rx Chondroitin sulfate use indicator (calc),1.0
V00RXOTHAN,EV:MIF: Rx Other analgesic use indicator (calc),1.0
V00RXGLCSM,EV:MIF: Rx Glucosamine use indicator (calc),1.0
V00RXACTM,EV:MIF: Rx Acetaminophen use indicator (calc),1.0
V00RXMSM,EV:MIF: Rx Methylsulfonylmethane use indicator (calc),1.0
P02KSURGCV,"IEI:Q12a.Either knee, ever had knee replacement surgery where all or part of joint was replaced (calc)",1.0
V00RXNSAID,EV:MIF: Rx NSAID use indicator (calc),1.0
V00RXASPRN,EV:MIF: Rx Aspirin use indicator (calc),1.0
V00RXNTRAT,EV:MIF: Rx Nitrate use indicator (calc),1.0
V00RXRALOX,EV:MIF: Rx Raloxifene use indicator (calc),1.0
V00RXVIT_D,EV:MIF: Rx Vitamin D use indicator (calc),1.0
V00RXOSTRD,EV:MIF: Rx Oral corticosteroid use indicator (calc),1.0
V00RXCLCXB,EV:MIF: Rx Celecoxib use indicator (calc),1.0
V00RXTPRTD,EV:MIF: Rx Teriparatide use indicator (calc),1.0
V00RXSALIC,EV:MIF: Rx Salicylate use indicator (calc),1.0
